Date,AMZN.NE,BBW,BOND.TO,BRK.NE,CGL.TO,DOL.TO,ENB.TO,EQB.TO,GOOG.NE,GOOGL,HPS-A.TO,LMN.V,MA.NE,META.NE,MSFT,MSFT.NE,NFTY,NVDA.NE,RAND,TSM,UMAC,UNH.NE,VFV.TO,WELL.TO,WMT.NE,XEQT.TO,ZDI.TO
2023-01-03,10.550000190734863,21.876224517822266,,24.020000457763672,14.9399995803833,79.14167022705078,43.13915252685547,53.14098358154297,15.205658912658691,88.38946533203125,19.18046760559082,,22.028703689575195,7.0746965408325195,233.45281982421875,17.50364875793457,42.30570602416992,3.453881025314331,8.584676742553711,70.454345703125,,23.797916412353516,89.45921325683594,2.809999942779541,20.428756713867188,23.0257625579834,18.38205909729004
2023-01-04,10.449999809265137,21.86729621887207,,24.309999465942383,15.029999732971191,79.33988952636719,43.37373733520508,53.719207763671875,15.056877136230469,87.35799407958984,19.393905639648438,,22.40157699584961,7.173920631408691,223.24081420898438,16.801942825317383,42.228492736816406,3.5462844371795654,8.62194538116455,72.63375091552734,,23.159048080444336,88.91915130615234,2.8299999237060547,20.612363815307617,23.035242080688477,18.490724563598633
2023-01-05,10.199999809265137,21.86729621887207,,24.25,14.880000114440918,79.67208099365234,43.511253356933594,54.428009033203125,14.729554176330566,85.4933853149414,19.238676071166992,,22.352510452270508,7.233454704284668,216.62449645996094,16.285411834716797,42.06439971923828,3.4339025020599365,8.752394676208496,72.07225799560547,,22.454404830932617,88.39835357666016,2.8299999237060547,20.53505516052246,22.94999122619629,18.34583854675293
2023-01-06,10.520000457763672,22.32267951965332,,24.68000030517578,15.109999656677246,82.23062896728516,44.053226470947266,54.32542037963867,14.898173332214355,86.62403869628906,20.073034286499023,,23.390525817871094,7.392213821411133,219.17747497558594,16.460832595825195,42.72074890136719,3.581247568130493,8.758605003356934,74.29920959472656,,22.463804244995117,89.50743103027344,2.890000104904175,21.105205535888672,23.243616104125977,18.60843849182129
2023-01-09,10.65999984741211,20.983320236206055,,24.450000762939453,15.180000305175781,81.24886322021484,44.39296340942383,54.20417022705078,15.056877136230469,87.2984848022461,21.586515426635742,,23.596912384033203,7.342602252960205,221.31146240234375,16.616769790649414,42.74970245361328,3.7510697841644287,8.696488380432129,76.4310302734375,,22.510780334472656,89.12167358398438,2.930000066757202,20.8249568939209,23.253084182739258,18.644655227661133
2023-01-10,11.010000228881836,21.39405632019043,,24.530000686645508,15.239999771118164,80.69353485107422,44.52238845825195,53.8404541015625,15.116389274597168,87.69520568847656,22.314149856567383,,23.547771453857422,7.5311279296875,222.99722290039062,16.733718872070312,42.85588073730469,3.8384785652160645,8.783452987670898,77.34467315673828,,22.228923797607422,89.93177795410156,2.9800000190734863,20.786306381225586,23.404638290405273,18.66276741027832
2023-01-11,11.619999885559082,21.269046783447266,,24.799999237060547,15.239999771118164,81.22904205322266,44.87831115722656,53.62594985961914,15.642090797424316,90.76979064941406,22.314149856567383,,23.960542678833008,7.541049957275391,229.740234375,17.259998321533203,42.66283416748047,3.855959892272949,8.41695785522461,77.83001708984375,,22.651710510253906,91.13729858398438,3.0899999141693115,20.892608642578125,23.603540420532227,18.771421432495117
2023-01-12,11.680000305175781,21.858366012573242,,24.68000030517578,15.399999618530273,80.217529296875,45.339393615722656,53.78450012207031,15.542901039123535,90.38297271728516,22.50818634033203,,24.117794036865234,7.759344100952148,232.41015625,17.474409103393555,43.01996612548828,3.975834369659424,8.771029472351074,82.79790496826172,,22.764446258544922,91.06977844238281,3.190000057220459,20.77664566040039,23.736148834228516,19.015920639038086
2023-01-13,11.989999771118164,21.724430084228516,,24.6200008392334,15.59000015258789,81.11003112792969,45.234230041503906,54.38136672973633,15.73136043548584,91.3648681640625,22.79923439025879,,23.891748428344727,7.759344100952148,233.11175537109375,17.51339340209961,43.40605926513672,4.065739631652832,8.771029472351074,82.60757446289062,,22.47319793701172,91.58092498779297,3.200000047683716,20.873279571533203,23.89716339111328,19.106475830078125
2023-01-16,12.15999984741211,,,24.549999237060547,15.579999923706055,82.30997467041016,45.10481262207031,54.372047424316406,15.919818878173828,,23.18731117248535,,24.078481674194336,7.9181036949157715,,17.542627334594727,,4.108195781707764,,,,22.595335006713867,91.60021209716797,3.7100000381469727,21.03755760192871,24.105541229248047,19.043081283569336
